word,frequency
aaaaltijd,1.0
aaaan,1.0
aaaardig,1.0
aaargh,1.0
aai,1.0
aanbesteding,1.0
aand,1.0
aangebeld,1.0
aanholt,1.0
aankleden,1.0
aanleiding,1.0
aanmoedigen,1.0
aanpassen,1.0
aansprak,1.0
aansteker,1.0
aanstellen,1.0
aant,1.0
aantrekkelijker,1.0
aanvoelt,1.0
aapje,1.0
aar,1.0
aarde,1.0
aardig,1.0
aardigheid,1.0
abc,1.0
abp,1.0
absent,1.0
absolute,1.0
absoluut,1.0
accepteert,1.0
achjaa,1.0
achteraan,1.0
achterbaks,1.0
achterthuis,1.0
actievoerders,1.0
actually,1.0
adriaan,1.0
adrianne,1.0
afblijven,1.0
afcajoep,1.0
aff,1.0
afgelope,1.0
afgelopen,1.0
afgeschoven,1.0
afgestraft,1.0
afliepen,1.0
afmaken,1.0
afourtounidisx,1.0
afschaffen,1.0
afscheid,1.0
afsluiten,1.0
afspraken,1.0
afsteken,1.0
afvallen,1.0
afwachten,1.0
agent,1.0
agenten,1.0
agressief,1.0
ahah,1.0
ahahaahha,1.0
ahahah,1.0
ahahahahaahahahhaha,1.0
ahahhaa,1.0
ahahhaha,1.0
ahjoh,1.0
aino,1.0
airdefence,1.0
ajaaz,1.0
ajaxaz,1.0
ak,1.0
akkoord,1.0
alainajax,1.0
alcohol,1.0
aldel,1.0
alfrink,1.0
alien,1.0
allemal,1.0
alless,1.0
allml,1.0
allochtoon,1.0
allochtoonse,1.0
alone,1.0
alphen,1.0
alsjebleift,1.0
alsjeblieft,1.0
alsk,1.0
alsnog,1.0
altjd,1.0
alweee,1.0
am,1.0
amai,1.0
ambtenaar,1.0
ameze,1.0
amper,1.0
an,1.0
anaalverkracht,1.0
analfabeet,1.0
analyse,1.0
angenice,1.0
anne,1.0
anonymous,1.0
antibiebers,1.0
antiliaan,1.0
antwoord,1.0
antwoorden,1.0
aparte,1.0
apparaat,1.0
appie,1.0
apps,1.0
arabische,1.0
araznamek,1.0
ariana,1.0
arjen,1.0
arjenadema,1.0
arro,1.0
artsen,1.0
asiel,1.0
aso,1.0
asociaal,1.0
atheist,1.0
athletic,1.0
atletico,1.0
audi,1.0
augustus,1.0
awel,1.0
awkward,1.0
ayman,1.0
az,1.0
azc,1.0
aziatisch,1.0
baaaahh,1.0
baal,1.0
baan,1.0
baarmoeder,1.0
baby,1.0
bacheloruu,1.0
back,1.0
bad,1.0
bahbah,1.0
bahbaha,1.0
bakkerkerkhoven,1.0
bakkes,1.0
bakkus,1.0
bakra,1.0
ballotelli,1.0
balotelli,1.0
bami,1.0
band,1.0
bandje,1.0
banga,1.0
bank,1.0
bankje,1.0
barbie,1.0
barca,1.0
bastaart,1.0
bauknecht,1.0
bbm,1.0
bbw,1.0
bc,1.0
bedenken,1.0
bedoeling,1.0
bedonderd,1.0
bedrag,1.0
bedrijf,1.0
beech,1.0
beelden,1.0
bef,1.0
beginnen,1.0
begon,1.0
begraven,1.0
begravenis,1.0
behalve,1.0
bejaarde,1.0
bekende,1.0
bekijken,1.0
bekkem,1.0
beklimmen,1.0
bekogeld,1.0
belachelijk,1.0
belangrijke,1.0
beleid,1.0
belgië,1.0
belminh,1.0
beloofde,1.0
belt,1.0
beltoon,1.0
bemiddeld,1.0
bemoeii,1.0
beneden,1.0
benik,1.0
benjij,1.0
benn,1.0
bentt,1.0
bepaalde,1.0
bepalen,1.0
bepalennnnn,1.0
berber,1.0
berekenen,1.0
berg,1.0
berichten,1.0
berigtjuns,1.0
berlicum,1.0
berlijn,1.0
besjan,1.0
besta,1.0
bestaan,1.0
bestelling,1.0
bestemd,1.0
besuug,1.0
betaal,1.0
betalen,1.0
betekend,1.0
betekent,1.0
betere,1.0
beters,1.0
beterschap,1.0
betrapt,1.0
betreft,1.0
beursplein,1.0
bevriend,1.0
bewaking,1.0
beweren,1.0
bezet,1.0
bezielt,1.0
bezocht,1.0
bff,1.0
biatch,1.0
bibao,1.0
biddend,1.0
bier,1.0
biertje,1.0
big,1.0
biggtime,1.0
bijkomen,1.0
bijt,1.0
bijv,1.0
bijvoorbeeld,1.0
bille,1.0
bin,1.0
bing,1.0
binne,1.0
binnen,1.0
binnenkort,1.0
bios,1.0
bit,1.0
bitchberryx,1.0
bitchboys,1.0
bitchessss,1.0
bitchnigger,1.0
bitje,1.0
bivakpipoos,1.0
bjorn,1.0
blabla,1.0
black,1.0
blaft,1.0
blauw,1.0
bledder,1.0
bloasmuziek,1.0
bloed,1.0
blog,1.0
bloggen,1.0
blokt,1.0
bloodclad,1.0
blowen,1.0
bly,1.0
blz,1.0
bmw,1.0
boaz,1.0
boek,1.0
boekt,1.0
boem,1.0
boerichter,1.0
boetes,1.0
boh,1.0
bohh,1.0
