word,frequency
aa,1.0
aaaaah,1.0
aah,1.0
aandelijk,1.0
aanfietsen,1.0
aanfluiting,1.0
aangegrepen,1.0
aangeklaagd,1.0
aangelegd,1.0
aangesloten,1.0
aangesproken,1.0
aangevallen,1.0
aangezien,1.0
aanghouden,1.0
aanhoudende,1.0
aanklagen,1.0
aankoop,1.0
aantal,1.0
aanval,1.0
aanvallers,1.0
aanvragen,1.0
aanwezig,1.0
aanwijzing,1.0
aanwinst,1.0
aardappel,1.0
aarde,1.0
aardgas,1.0
aardgaswinning,1.0
aardig,1.0
aardrijkskunde,1.0
aart,1.0
aawhh,1.0
abahah,1.0
abdicatie,1.0
aber,1.0
abi,1.0
aboo,1.0
absoluut,1.0
ac,1.0
academy,1.0
acc,1.0
acht,1.0
achten,1.0
achterbakse,1.0
achtergronden,1.0
achterlijke,1.0
achttien,1.0
acoustic,1.0
acteur,1.0
acv,1.0
ad,1.0
adembenemend,1.0
adios,1.0
adlon,1.0
administratieve,1.0
adres,1.0
adriaan,1.0
advanced,1.0
adventure,1.0
adverteer,1.0
advertentie,1.0
advies,1.0
afd,1.0
afdeling,1.0
afgekeurd,1.0
afgepakt,1.0
afgetekende,1.0
afgetrokken,1.0
afgewezen,1.0
afkrijgt,1.0
aflevering,1.0
africaanse,1.0
afrikaantje,1.0
afschrijvingen,1.0
after,1.0
aftreed,1.0
aftrekt,1.0
afvalcontainers,1.0
afvraagt,1.0
afz,1.0
agathamakeup,1.0
agenda,1.0
agent,1.0
agua,1.0
aha,1.0
ahaa,1.0
ahaahahah,1.0
ahahah,1.0
ahahaha,1.0
ahahahah,1.0
ahahha,1.0
ahha,1.0
ahw,1.0
aiiboy,1.0
airmax,1.0
ajacied,1.0
aka,1.0
akhirnya,1.0
akkk,1.0
aks,1.0
aktualisierter,1.0
akure,1.0
aldoor,1.0
aldus,1.0
algarve,1.0
alhoceima,1.0
aliyahvevotwittertakeover,1.0
all,1.0
allday,1.0
allebei,1.0
allen,1.0
allerliefste,1.0
allesisliefde,1.0
allesonder,1.0
almelo,1.0
alphen,1.0
alphenaandenrijn,1.0
alsfabed,1.0
alsof,1.0
altavista,1.0
altijddd,1.0
alvast,1.0
alvorens,1.0
alyannebos,1.0
amaai,1.0
amberlynnb,1.0
amen,1.0
amper,1.0
amsterdammers,1.0
anathemahjp,1.0
andacht,1.0
andy,1.0
ang,1.0
angela,1.0
angstig,1.0
angstloze,1.0
animatie,1.0
anne,1.0
annesiegel,1.0
anniikax,1.0
annoniem,1.0
anoniem,1.0
anorexia,1.0
anousloveyou,1.0
antwoord,1.0
antwoorden,1.0
antwoordenboekjj,1.0
anything,1.0
appartement,1.0
appe,1.0
appels,1.0
appen,1.0
appie,1.0
aqua,1.0
arbeitslos,1.0
architectenbranche,1.0
ari,1.0
armbanden,1.0
armoe,1.0
arod,1.0
arresteert,1.0
ashrafoost,1.0
ashram,1.0
asprientje,1.0
assen,1.0
assist,1.0
aub,1.0
auch,1.0
auditie,1.0
augurk,1.0
augustus,1.0
aukjemindert,1.0
aula,1.0
aus,1.0
australi,1.0
authentieke,1.0
autodeur,1.0
automatisch,1.0
auw,1.0
avons,1.0
avontuurlijke,1.0
avontuurtje,1.0
avro,1.0
awkward,1.0
aww,1.0
ayfer,1.0
baan,1.0
baarde,1.0
baas,1.0
baasineigenbundel,1.0
babe,1.0
babyy,1.0
bad,1.0
bahn,1.0
bakijs,1.0
bakken,1.0
bakkendag,1.0
baklava,1.0
balgoij,1.0
balk,1.0
balle,1.0
ballonnen,1.0
balls,1.0
bambiamberr,1.0
band,1.0
banenruil,1.0
banga,1.0
bankjes,1.0
barbie,1.0
barstte,1.0
bartjooo,1.0
bartschreurs,1.0
barz,1.0
bas,1.0
basisschool,1.0
baterij,1.0
bathmen,1.0
bauer,1.0
baya,1.0
bbq,1.0
bbqen,1.0
bbrave,1.0
beaver,1.0
bedanken,1.0
bedekt,1.0
bedoel,1.0
bedoeld,1.0
bedoeling,1.0
bedoelt,1.0
bedrijfskring,1.0
bedrijven,1.0
bedrijventerrein,1.0
bedrust,1.0
begeleiden,1.0
begijnenmole,1.0
begind,1.0
beginnend,1.0
begrijpen,1.0
begripvolste,1.0
behoo,1.0
behoorlijk,1.0
beide,1.0
beieren,1.0
being,1.0
bekannt,1.0
bekeken,1.0
bekend,1.0
bekendprobleem,1.0
bekijk,1.0
beknopte,1.0
bekvechtende,1.0
beland,1.0
belangrijke,1.0
beleid,1.0
beloofd,1.0
belooff,1.0
belooft,1.0
beloon,1.0
belvedère,1.0
bemiddelen,1.0
bemoedigen,1.0
benim,1.0
benul,1.0
bereikt,1.0
berekend,1.0
berekening,1.0
beri,1.0
berichtje,1.0
berichtjes,1.0
beroemd,1.0
beroepsonderwijs,1.0
berucht,1.0
beschikken,1.0
beschkbaar,1.0
beschrijving,1.0
besef,1.0
beseft,1.0
besig,1.0
beslissingen,1.0
besteden,1.0
bestellen,1.0
bestelling,1.0
besterapper,1.0
bestwel,1.0
betaal,1.0
betere,1.0
beterschap,1.0
betrapt,1.0
betrokken,1.0
betrokkenheid,1.0
betºl,1.0
beurs,1.0
beurstijd,1.0
beurt,1.0
bevalt,1.0
bevestigd,1.0
bevolking,1.0
bewegen,1.0
bewonderen,1.0
bewoner,1.0
beyonce,1.0
bezoeker,1.0
bezuiniging,1.0
beëindigen,1.0
bi,1.0
bib,1.0
bibliotheekwet,1.0
bidden,1.0
bieber,1.0
biertje,1.0
bierviltje,1.0
big,1.0
biij,1.0
bijenkorf,1.0
bijgepraat,1.0
bijles,1.0
bijschrijvingen,1.0
bijt,1.0
bijwaard,1.0
bijzonder,1.0
bikini,1.0
bil,1.0
bin,1.0
bing,1.0
binnengevall,1.0
binnenkant,1.0
bio,1.0
biologie,1.0
bios,1.0
birdies,1.0
birinin,1.0
blabla,1.0
bladmuziek,1.0
blakarowsu,1.0
blauw,1.0
blauwe,1.0
blije,1.0
blijjj,1.0
blijvend,1.0
blijvenn,1.0
blikje,1.0
blikken,1.0
block,1.0
bloedheet,1.0
bloedplasma,1.0
bloeie,1.0
blog,1.0
blokende,1.0
blokjes,1.0
blöd,1.0
bn,1.0
bna,1.0
bobbie,1.0
bochten,1.0
bod,1.0
boefjes,1.0
boeit,1.0
boekfragment,1.0
boekje,1.0
boekjes,1.0
boem,1.0
boemjah,1.0
boer,1.0
bohong,1.0
bojan,1.0
bokito,1.0
bolivia,1.0
bonaire,1.0
bonnen,1.0
bontkragen,1.0
bonzqild,1.0
bootjesvolk,1.0
booty,1.0
bord,1.0
borgharen,1.0
boring,1.0
bot,1.0
bottom,1.0
bovenaan,1.0
bovenburen,1.0
boyfriend,1.0
boyz,1.0
brak,1.0
brandweerwagens,1.0
braviours,1.0
brazilië,1.0
breaking,1.0
breda,1.0
brede,1.0
breed,1.0
breekt,1.0
breezer,1.0
breinkraker,1.0
breken,1.0
briefje,1.0
brieven,1.0
brings,1.0
britse,1.0
broederschap,1.0
broer,1.0
broken,1.0
brom,1.0
bromfietspad,1.0
brommer,1.0
broncos,1.0
bronnen,1.0
broo,1.0
brook,1.0
brownies,1.0
brug,1.0
brugklas,1.0
bruin,1.0
brussel,1.0
btn,1.0
budget,1.0
bui,1.0
buik,1.0
buikpijntjesss,1.0
buitenland,1.0
bukan,1.0
bulgaren,1.0
bulgarije,1.0
bullshit,1.0
bumawi,1.0
bundels,1.0
burger,1.0
burgeroorlog,1.0
burns,1.0
bussie,1.0
bussloo,1.0
butty,1.0
buzu,1.0
bydopedemand,1.0
byna,1.0
cacing,1.0
cadeau,1.0
calderic,1.0
call,1.0
callflex,1.0
calvin,1.0
cambuur,1.0
camera,1.0
cameraman,1.0
camilo,1.0
camminghaburen,1.0
can,1.0
canailles,1.0
cancer,1.0
cao,1.0
caoonderhandelingen,1.0
carnaval,1.0
cas,1.0
cassettebandjes,1.0
cava,1.0
cbs,1.0
cc,1.0
cd,1.0
cda,1.0
celeb,1.0
centrum,1.0
chacingijo,1.0
chagarijnig,1.0
chagerijnigg,1.0
channel,1.0
chantalvoice,1.0
chaos,1.0
chaotisch,1.0
chauvinist,1.0
cheats,1.0
checke,1.0
cheese,1.0
chef,1.0
cheryl,1.0
cheyenne,1.0
chichis,1.0
chicks,1.0
chil,1.0
chillen,1.0
chillouhdhc,1.0
chinalife,1.0
christelijke,1.0
christian,1.0
cinta,1.0
circuit,1.0
citeer,1.0
citroensap,1.0
citymarketing,1.0
cleetjebabysdg,1.0
clowns,1.0
clubs,1.0
co,1.0
coach,1.0
coca,1.0
cocaøne,1.0
coccos,1.0
cocu,1.0
coelwiejoelie,1.0
coins,1.0
cole,1.0
combineren,1.0
comenius,1.0
comfortabel,1.0
commentator,1.0
commercile,1.0
common,1.0
communicatie,1.0
communiceren,1.0
complimenten,1.0
computer,1.0
computerspecialist,1.0
conclusie,1.0
concours,1.0
concurrent,1.0
concurrentiewaakhond,1.0
congresdagen,1.0
connecten,1.0
cont,1.0
contact,1.0
controller,1.0
coole,1.0
coordinator,1.0
correct,1.0
correcte,1.0
cover,1.0
crasht,1.0
crazygirlluun,1.0
cremespoeling,1.0
crew,1.0
cristiano,1.0
cruzeiro,1.0
cstrook,1.0
cuoio,1.0
cursor,1.0
cvbvoorzitter,1.0
cyberpestende,1.0
daag,1.0
daan,1.0
daarmee,1.0
daarnatoe,1.0
daarop,1.0
daarover,1.0
dadelijk,1.0
daging,1.0
dak,1.0
dalijk,1.0
dame,1.0
dames,1.0
damian,1.0
dammen,1.0
damnz,1.0
daniel,1.0
danken,1.0
dankie,1.0
dankjee,1.0
dankzij,1.0
danny,1.0
danse,1.0
dansje,1.0
daone,1.0
darm,1.0
darmen,1.0
database,1.0
dating,1.0
datmoetgezegd,1.0
ddoperiode,1.0
ddr,1.0
debat,1.0
decibel,1.0
dee,1.0
deel,1.0
deels,1.0
deenk,1.0
definitief,1.0
degene,1.0
deine,1.0
dekrantvanflevoland,1.0
delangste,1.0
delft,1.0
delta,1.0
demelline,1.0
demo,1.0
denen,1.0
denhaag,1.0
denilzi,1.0
denke,1.0
derde,1.0
dergelijke,1.0
description,1.0
desondanks,1.0
destijds,1.0
deugnieten,1.0
dev,1.0
deventernaar,1.0
devils,1.0
dezelfde,1.0
değilim,1.0
dhd,1.0
diandraloveyou,1.0
dichtbij,1.0
dier,1.0
dieren,1.0
diervriendelijk,1.0
dieuwertjex,1.0
digibox,1.0
dijk,1.0
dijp,1.0
dina,1.0
dink,1.0
dinootjenaomi,1.0
dinsdag,1.0
dip,1.0
dirk,1.0
discriminatie,1.0
discriminerend,1.0
discussianten,1.0
discussieren,1.0
disney,1.0
diverse,1.0
djie,1.0
dlkeshfoiesdlkfjx,1.0
dn,1.0
doel,1.0
doelen,1.0
doem,1.0
doendurfwaarheid,1.0
doetinchem,1.0
dogter,1.0
dokken,1.0
dokter,1.0
dolgraag,1.0
dominic,1.0
dominicaanse,1.0
domme,1.0
donar,1.0
donaties,1.0
donderaaap,1.0
donderop,1.0
dongen,1.0
donker,1.0
doodschieten,1.0
doooood,1.0
doordat,1.0
doorgebrand,1.0
doorrijder,1.0
doorspoelen,1.0
doos,1.0
dope,1.0
dorpsleven,1.0
douaneapp,1.0
douche,1.0
douglas,1.0
dovo,1.0
download,1.0
draagvlak,1.0
draait,1.0
dragen,1.0
drake,1.0
drama,1.0
dreigt,1.0
dribbelkoning,1.0
driel,1.0
drink,1.0
drinkt,1.0
drogegr,1.0
drogen,1.0
droog,1.0
droomclub,1.0
drukke,1.0
drummer,1.0
dtv,1.0
dua,1.0
dualisme,1.0
dude,1.0
dudes,1.0
due,1.0
