fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
0.61269844,0.61587304,0.5777778,0.6539683,0.61269844,0.63174605,0.60634923,0.63809526,0.6,0.63174605
0.6571429,0.63492066,0.568254,0.6952381,0.62222224,0.64126986,0.63174605,0.6698413,0.61587304,0.6507937
0.64444447,0.63492066,0.62222224,0.7079365,0.63174605,0.63174605,0.6031746,0.6730159,0.60634923,0.61269844
0.6761905,0.6698413,0.64444447,0.72063494,0.6698413,0.6793651,0.62222224,0.71428573,0.63809526,0.63809526
0.6634921,0.64444447,0.60634923,0.6888889,0.6603175,0.6571429,0.5873016,0.6571429,0.64761907,0.64126986
0.6984127,0.6761905,0.64444447,0.7047619,0.6793651,0.6825397,0.61904764,0.6825397,0.6634921,0.63174605
0.6571429,0.62539685,0.63809526,0.6920635,0.6698413,0.6761905,0.6,0.62222224,0.63174605,0.60634923
0.6888889,0.6571429,0.6730159,0.72063494,0.6698413,0.6825397,0.61269844,0.6698413,0.6793651,0.62222224
0.64761907,0.61587304,0.64444447,0.6825397,0.64761907,0.6539683,0.584127,0.6507937,0.62857145,0.62857145
0.6857143,0.6539683,0.6603175,0.7015873,0.6666667,0.6539683,0.6031746,0.6730159,0.6571429,0.6603175
0.6603175,0.63174605,0.61587304,0.6698413,0.6507937,0.64444447,0.5746032,0.64761907,0.62539685,0.63174605
0.6888889,0.64126986,0.64444447,0.6920635,0.6666667,0.6634921,0.5936508,0.6698413,0.63174605,0.63809526
0.6571429,0.60634923,0.5968254,0.6698413,0.6507937,0.62539685,0.5714286,0.64444447,0.61904764,0.62222224
0.6952381,0.64126986,0.62539685,0.6920635,0.6793651,0.64444447,0.5904762,0.6603175,0.64761907,0.63809526
0.6634921,0.62222224,0.60634923,0.6730159,0.6539683,0.62222224,0.584127,0.63492066,0.62539685,0.63809526
0.6984127,0.63492066,0.62857145,0.6825397,0.6857143,0.6666667,0.5809524,0.6507937,0.64444447,0.6507937
0.6603175,0.6031746,0.60634923,0.6698413,0.6634921,0.63809526,0.5746032,0.63809526,0.6031746,0.63174605
0.6920635,0.62222224,0.62857145,0.6888889,0.6730159,0.64126986,0.5968254,0.64444447,0.62539685,0.6603175
0.6571429,0.6031746,0.62222224,0.6761905,0.6539683,0.60634923,0.5904762,0.62539685,0.6031746,0.64761907
0.6698413,0.62222224,0.63492066,0.6952381,0.6634921,0.63174605,0.5968254,0.64761907,0.61904764,0.6603175
0.6603175,0.6031746,0.61587304,0.6761905,0.6507937,0.60634923,0.5809524,0.61904764,0.5968254,0.64126986
0.6888889,0.61587304,0.63492066,0.6793651,0.6539683,0.62222224,0.6031746,0.62857145,0.61904764,0.64444447
0.6571429,0.61904764,0.62539685,0.6539683,0.64761907,0.61587304,0.5904762,0.61904764,0.5873016,0.63492066
0.6793651,0.62539685,0.62857145,0.6603175,0.6507937,0.62857145,0.60952383,0.6507937,0.62539685,0.6507937
0.6507937,0.60952383,0.61269844,0.6603175,0.63809526,0.61904764,0.6,0.62222224,0.61904764,0.63809526
0.6825397,0.62222224,0.61904764,0.6603175,0.6539683,0.62222224,0.61269844,0.6539683,0.62222224,0.6507937
0.6571429,0.60634923,0.62222224,0.6571429,0.63809526,0.62222224,0.6031746,0.64444447,0.6031746,0.63174605
0.6539683,0.60634923,0.61587304,0.6539683,0.63492066,0.63492066,0.61269844,0.64761907,0.63809526,0.6603175
0.64126986,0.60634923,0.60634923,0.6539683,0.64126986,0.61587304,0.6,0.62857145,0.62539685,0.63492066
0.6571429,0.60952383,0.62539685,0.6571429,0.64761907,0.63492066,0.61904764,0.63809526,0.63492066,0.64761907
0.64761907,0.6,0.61587304,0.63492066,0.63492066,0.62222224,0.6031746,0.61904764,0.62222224,0.62857145
0.64761907,0.61269844,0.62222224,0.6507937,0.6507937,0.62222224,0.61269844,0.61269844,0.63492066,0.64761907
0.63809526,0.6,0.62222224,0.63492066,0.63174605,0.61587304,0.5904762,0.61904764,0.62857145,0.63174605
0.64126986,0.6,0.63492066,0.64444447,0.64444447,0.62222224,0.60634923,0.62222224,0.64126986,0.64761907
0.63809526,0.5936508,0.61904764,0.64126986,0.62857145,0.61269844,0.6,0.62222224,0.62857145,0.63809526
0.64126986,0.5936508,0.62539685,0.64761907,0.64761907,0.62539685,0.6031746,0.61904764,0.63174605,0.64761907
0.64444447,0.5904762,0.60952383,0.63492066,0.63492066,0.61269844,0.5968254,0.61587304,0.62857145,0.62222224
0.6507937,0.5904762,0.61269844,0.64126986,0.63492066,0.62222224,0.60634923,0.61269844,0.63492066,0.62857145
0.63809526,0.584127,0.6,0.63174605,0.61904764,0.61269844,0.6,0.61587304,0.63174605,0.61587304
0.63809526,0.5936508,0.61269844,0.63809526,0.63174605,0.61904764,0.6031746,0.61587304,0.63809526,0.63174605
0.62857145,0.5873016,0.60952383,0.62539685,0.62539685,0.6031746,0.5904762,0.61269844,0.63492066,0.62222224
0.63174605,0.5968254,0.61587304,0.63809526,0.62857145,0.60634923,0.60634923,0.61269844,0.6507937,0.62539685
0.63174605,0.5904762,0.60634923,0.62222224,0.61904764,0.6,0.5968254,0.61587304,0.64126986,0.61587304
0.63174605,0.6031746,0.61587304,0.63174605,0.62539685,0.62222224,0.61269844,0.62222224,0.63809526,0.62222224
0.61904764,0.5904762,0.60634923,0.63174605,0.62539685,0.60634923,0.6031746,0.61269844,0.63174605,0.61269844
0.62222224,0.5968254,0.61269844,0.64761907,0.62222224,0.61904764,0.61587304,0.61904764,0.63809526,0.61904764
0.61587304,0.5936508,0.60952383,0.63492066,0.62539685,0.6,0.60634923,0.61269844,0.62539685,0.6031746
0.62222224,0.5968254,0.62539685,0.64126986,0.62857145,0.60952383,0.61587304,0.61587304,0.62857145,0.61269844
0.61587304,0.5904762,0.61269844,0.63174605,0.62539685,0.6031746,0.60634923,0.6,0.61269844,0.60952383
0.61269844,0.6,0.61587304,0.62857145,0.63492066,0.60634923,0.61269844,0.6031746,0.61904764,0.62222224
0.61269844,0.5968254,0.60952383,0.62539685,0.61587304,0.6031746,0.6031746,0.5936508,0.6031746,0.61587304
0.62222224,0.5904762,0.60952383,0.63174605,0.63492066,0.60634923,0.6031746,0.6,0.60952383,0.62539685
0.61587304,0.584127,0.6031746,0.62857145,0.61587304,0.5968254,0.60634923,0.5936508,0.60634923,0.61904764
0.60952383,0.5873016,0.60634923,0.62857145,0.61587304,0.6,0.61269844,0.5936508,0.60952383,0.62222224
0.6031746,0.5873016,0.5968254,0.61904764,0.60634923,0.5873016,0.5968254,0.5936508,0.6031746,0.61269844
0.61269844,0.5936508,0.6031746,0.62539685,0.61587304,0.5968254,0.5968254,0.6,0.61904764,0.61904764
0.60952383,0.5904762,0.6031746,0.61904764,0.60952383,0.5904762,0.5936508,0.5904762,0.6,0.60952383
0.61587304,0.5904762,0.60634923,0.61269844,0.62222224,0.61587304,0.6,0.5936508,0.6031746,0.61587304
0.60952383,0.5904762,0.60634923,0.61904764,0.61587304,0.6,0.5968254,0.5904762,0.5936508,0.60634923
0.61587304,0.5873016,0.61269844,0.61904764,0.61904764,0.61587304,0.5968254,0.5904762,0.6,0.61587304
0.60952383,0.5809524,0.6031746,0.61587304,0.60952383,0.60634923,0.5904762,0.5873016,0.5936508,0.5968254
0.60952383,0.5873016,0.61269844,0.61587304,0.60952383,0.61904764,0.5936508,0.5904762,0.5968254,0.61587304
0.6031746,0.5873016,0.60952383,0.60952383,0.6,0.61269844,0.5873016,0.5873016,0.5936508,0.5968254
0.60634923,0.5904762,0.60634923,0.60952383,0.6031746,0.61587304,0.5873016,0.5873016,0.6031746,0.60634923
0.60952383,0.5809524,0.60634923,0.6,0.6031746,0.6031746,0.5809524,0.584127,0.6031746,0.6031746
0.60634923,0.584127,0.61269844,0.60634923,0.60952383,0.61587304,0.5809524,0.5873016,0.6031746,0.60634923
0.60634923,0.5746032,0.60634923,0.60952383,0.60952383,0.6031746,0.5777778,0.584127,0.6,0.6
0.60634923,0.5777778,0.60634923,0.61269844,0.60952383,0.60634923,0.5809524,0.5904762,0.6031746,0.60634923
0.6031746,0.5714286,0.6031746,0.6,0.60952383,0.5936508,0.5777778,0.5904762,0.5936508,0.5904762
0.5968254,0.5809524,0.60634923,0.60634923,0.61269844,0.6,0.5777778,0.584127,0.6031746,0.6031746
0.5904762,0.5777778,0.60952383,0.60634923,0.60634923,0.6,0.5809524,0.5714286,0.5968254,0.6
0.5968254,0.5809524,0.60634923,0.60952383,0.60952383,0.6,0.5777778,0.5714286,0.6,0.60952383
0.5904762,0.5746032,0.6031746,0.60634923,0.60952383,0.5968254,0.5777778,0.568254,0.6,0.6
0.5873016,0.584127,0.60634923,0.60634923,0.61269844,0.6031746,0.5777778,0.568254,0.6031746,0.60634923
0.584127,0.5809524,0.60634923,0.6,0.5968254,0.6,0.5746032,0.5714286,0.6,0.60634923
0.5968254,0.5936508,0.60634923,0.6031746,0.6031746,0.61269844,0.5777778,0.5777778,0.6031746,0.60634923
0.5936508,0.584127,0.5968254,0.6031746,0.5968254,0.5936508,0.5746032,0.5777778,0.5968254,0.5968254
0.5936508,0.5809524,0.5968254,0.60952383,0.5904762,0.6,0.5746032,0.584127,0.5968254,0.6
0.5904762,0.5777778,0.5936508,0.61269844,0.584127,0.5873016,0.5777778,0.584127,0.5904762,0.5968254
0.5936508,0.5746032,0.6031746,0.61269844,0.5873016,0.5873016,0.5777778,0.5873016,0.5904762,0.5968254
0.5904762,0.5746032,0.5873016,0.60634923,0.5714286,0.5904762,0.5714286,0.5809524,0.5904762,0.5904762
0.5968254,0.5777778,0.5936508,0.61904764,0.584127,0.5936508,0.5714286,0.5777778,0.5904762,0.5904762
0.5936508,0.5714286,0.5904762,0.61587304,0.5809524,0.5873016,0.5714286,0.5746032,0.5873016,0.584127
0.6,0.5714286,0.5904762,0.62222224,0.5904762,0.5968254,0.5746032,0.5777778,0.5873016,0.5873016
0.5936508,0.5714286,0.5777778,0.61587304,0.584127,0.5936508,0.5746032,0.5777778,0.5873016,0.584127
0.5968254,0.5714286,0.5809524,0.61587304,0.584127,0.6,0.5746032,0.5873016,0.5904762,0.5809524
0.5904762,0.5714286,0.5809524,0.61269844,0.584127,0.6,0.5714286,0.5809524,0.584127,0.5809524
0.5936508,0.5714286,0.5809524,0.61269844,0.5904762,0.60634923,0.5714286,0.584127,0.584127,0.5809524
0.5904762,0.568254,0.5809524,0.60952383,0.5873016,0.5936508,0.5714286,0.584127,0.5809524,0.5873016
0.5936508,0.5714286,0.5809524,0.61269844,0.584127,0.5968254,0.5777778,0.584127,0.5809524,0.5873016
0.5936508,0.5714286,0.5777778,0.60952383,0.5777778,0.5936508,0.5777778,0.5873016,0.5777778,0.5809524
0.6,0.5714286,0.5777778,0.60952383,0.5777778,0.5936508,0.5809524,0.5873016,0.5809524,0.5809524
0.6,0.5650794,0.5746032,0.60634923,0.5746032,0.5904762,0.5809524,0.5873016,0.5809524,0.5809524
0.6031746,0.5650794,0.5777778,0.60634923,0.5746032,0.5904762,0.5777778,0.584127,0.5777778,0.5809524
0.6,0.5619048,0.5777778,0.6,0.5809524,0.5873016,0.5777778,0.584127,0.5777778,0.5809524
0.6,0.5619048,0.5746032,0.6031746,0.5809524,0.5904762,0.5777778,0.5904762,0.5809524,0.5809524
0.5904762,0.5619048,0.5714286,0.6031746,0.5777778,0.584127,0.5746032,0.584127,0.5809524,0.5777778
0.5904762,0.5619048,0.5650794,0.6031746,0.5777778,0.5873016,0.5746032,0.5809524,0.5809524,0.5777778
0.5904762,0.5587302,0.5619048,0.6,0.5714286,0.584127,0.5746032,0.5746032,0.5809524,0.5746032
0.5904762,0.5587302,0.5650794,0.60634923,0.5746032,0.5904762,0.5746032,0.5777778,0.584127,0.5777778
