word,frequency
aa,1.0
aaaaah,1.0
aaaaltijd,1.0
aaaan,1.0
aaaardig,1.0
aaargh,1.0
aah,1.0
aai,1.0
aanbesteding,1.0
aand,1.0
aandelijk,1.0
aanfietsen,1.0
aanfluiting,1.0
aangebeld,1.0
aangegrepen,1.0
aangeklaagd,1.0
aangelegd,1.0
aangesloten,1.0
aangesproken,1.0
aangevallen,1.0
aangezien,1.0
aanghouden,1.0
aanholt,1.0
aanhoudende,1.0
aanklagen,1.0
aankleden,1.0
aankoop,1.0
aanleiding,1.0
aanmoedigen,1.0
aanpassen,1.0
aansprak,1.0
aansteker,1.0
aanstellen,1.0
aantal,1.0
aantrekkelijker,1.0
aanval,1.0
aanvallers,1.0
aanvoelt,1.0
aanvragen,1.0
aanwezig,1.0
aanwijzing,1.0
aanwinst,1.0
aapje,1.0
aar,1.0
aardappel,1.0
aardgas,1.0
aardgaswinning,1.0
aardigheid,1.0
aardrijkskunde,1.0
aart,1.0
aawhh,1.0
abahah,1.0
abc,1.0
abdicatie,1.0
aber,1.0
abi,1.0
aboo,1.0
abp,1.0
absent,1.0
absolute,1.0
ac,1.0
academy,1.0
accepteert,1.0
achjaa,1.0
acht,1.0
achten,1.0
achteraan,1.0
achterbaks,1.0
achterbakse,1.0
achtergronden,1.0
achterthuis,1.0
achttien,1.0
acoustic,1.0
acteur,1.0
actievoerders,1.0
actually,1.0
acv,1.0
ad,1.0
adembenemend,1.0
adios,1.0
adlon,1.0
administratieve,1.0
adres,1.0
adrianne,1.0
advanced,1.0
adventure,1.0
adverteer,1.0
advertentie,1.0
advies,1.0
afblijven,1.0
afcajoep,1.0
afd,1.0
afdeling,1.0
aff,1.0
afgekeurd,1.0
afgelope,1.0
afgelopen,1.0
afgepakt,1.0
afgeschoven,1.0
afgestraft,1.0
afgetekende,1.0
afgetrokken,1.0
afgewezen,1.0
afkrijgt,1.0
aflevering,1.0
afliepen,1.0
afmaken,1.0
afourtounidisx,1.0
africaanse,1.0
afrikaantje,1.0
afschaffen,1.0
afschrijvingen,1.0
afsluiten,1.0
afspraken,1.0
afsteken,1.0
after,1.0
aftreed,1.0
aftrekt,1.0
afvalcontainers,1.0
afvallen,1.0
afvraagt,1.0
afwachten,1.0
afz,1.0
agathamakeup,1.0
agenda,1.0
agenten,1.0
agressief,1.0
agua,1.0
aha,1.0
ahaa,1.0
ahaahahah,1.0
ahah,1.0
ahahaahha,1.0
ahahaha,1.0
ahahahah,1.0
ahahahahaahahahhaha,1.0
ahahha,1.0
ahahhaa,1.0
ahahhaha,1.0
ahha,1.0
ahjoh,1.0
ahw,1.0
aiiboy,1.0
aino,1.0
airdefence,1.0
airmax,1.0
ajaaz,1.0
ajacied,1.0
ajaxaz,1.0
aka,1.0
akhirnya,1.0
akkk,1.0
aks,1.0
aktualisierter,1.0
akure,1.0
alainajax,1.0
alcohol,1.0
aldel,1.0
aldoor,1.0
aldus,1.0
alfrink,1.0
algarve,1.0
alhoceima,1.0
alien,1.0
aliyahvevotwittertakeover,1.0
all,1.0
allday,1.0
allemal,1.0
allerliefste,1.0
allesisliefde,1.0
allesonder,1.0
alless,1.0
allml,1.0
allochtoon,1.0
allochtoonse,1.0
almelo,1.0
alone,1.0
alphenaandenrijn,1.0
alsfabed,1.0
alsjebleift,1.0
alsk,1.0
altavista,1.0
altijddd,1.0
altjd,1.0
alvast,1.0
alvorens,1.0
alweee,1.0
alyannebos,1.0
am,1.0
amaai,1.0
amai,1.0
amberlynnb,1.0
ambtenaar,1.0
amen,1.0
ameze,1.0
amsterdammers,1.0
anaalverkracht,1.0
analfabeet,1.0
analyse,1.0
anathemahjp,1.0
andacht,1.0
andy,1.0
ang,1.0
angela,1.0
angenice,1.0
angstig,1.0
angstloze,1.0
animatie,1.0
annesiegel,1.0
anniikax,1.0
annoniem,1.0
anonymous,1.0
anorexia,1.0
anousloveyou,1.0
antibiebers,1.0
antiliaan,1.0
antwoordenboekjj,1.0
anything,1.0
aparte,1.0
apparaat,1.0
appartement,1.0
appe,1.0
appels,1.0
appen,1.0
apps,1.0
aqua,1.0
arabische,1.0
araznamek,1.0
arbeitslos,1.0
architectenbranche,1.0
ari,1.0
ariana,1.0
arjen,1.0
arjenadema,1.0
armbanden,1.0
armoe,1.0
arod,1.0
arresteert,1.0
arro,1.0
artsen,1.0
ashrafoost,1.0
ashram,1.0
asiel,1.0
aso,1.0
asociaal,1.0
asprientje,1.0
assen,1.0
assist,1.0
atheist,1.0
athletic,1.0
atletico,1.0
auch,1.0
audi,1.0
auditie,1.0
augurk,1.0
aukjemindert,1.0
aula,1.0
aus,1.0
australi,1.0
authentieke,1.0
autodeur,1.0
automatisch,1.0
auw,1.0
avons,1.0
avontuurlijke,1.0
avontuurtje,1.0
avro,1.0
awel,1.0
aww,1.0
ayfer,1.0
ayman,1.0
az,1.0
azc,1.0
aziatisch,1.0
baaaahh,1.0
baal,1.0
baarde,1.0
baarmoeder,1.0
baasineigenbundel,1.0
babe,1.0
babyy,1.0
bacheloruu,1.0
bahbah,1.0
bahbaha,1.0
bahn,1.0
bakijs,1.0
bakken,1.0
bakkendag,1.0
bakkerkerkhoven,1.0
bakkes,1.0
bakkus,1.0
baklava,1.0
bakra,1.0
balgoij,1.0
balk,1.0
balle,1.0
ballonnen,1.0
ballotelli,1.0
balls,1.0
balotelli,1.0
bambiamberr,1.0
bami,1.0
bandje,1.0
banenruil,1.0
bankje,1.0
bankjes,1.0
barca,1.0
barstte,1.0
bartjooo,1.0
bartschreurs,1.0
barz,1.0
basisschool,1.0
bastaart,1.0
baterij,1.0
bathmen,1.0
bauer,1.0
bauknecht,1.0
baya,1.0
bbq,1.0
bbqen,1.0
bbrave,1.0
bbw,1.0
bc,1.0
beaver,1.0
bedanken,1.0
bedekt,1.0
bedenken,1.0
bedoeld,1.0
bedonderd,1.0
bedrag,1.0
bedrijf,1.0
bedrijfskring,1.0
bedrijven,1.0
bedrijventerrein,1.0
bedrust,1.0
beech,1.0
beelden,1.0
bef,1.0
begeleiden,1.0
begijnenmole,1.0
begind,1.0
beginnend,1.0
begon,1.0
begraven,1.0
begravenis,1.0
begrijpen,1.0
begripvolste,1.0
behoo,1.0
behoorlijk,1.0
beide,1.0
beieren,1.0
being,1.0
bejaarde,1.0
bekannt,1.0
bekeken,1.0
bekend,1.0
bekende,1.0
bekendprobleem,1.0
bekijk,1.0
bekijken,1.0
bekkem,1.0
beklimmen,1.0
beknopte,1.0
bekogeld,1.0
bekvechtende,1.0
belachelijk,1.0
beland,1.0
belgië,1.0
belminh,1.0
beloofd,1.0
beloofde,1.0
belooff,1.0
belooft,1.0
beloon,1.0
belt,1.0
beltoon,1.0
belvedère,1.0
bemiddeld,1.0
bemiddelen,1.0
bemoedigen,1.0
bemoeii,1.0
benik,1.0
benim,1.0
benjij,1.0
benn,1.0
bentt,1.0
benul,1.0
bepaalde,1.0
bepalen,1.0
bepalennnnn,1.0
berber,1.0
bereikt,1.0
berekend,1.0
berekenen,1.0
berekening,1.0
berg,1.0
beri,1.0
berichten,1.0
berichtje,1.0
berichtjes,1.0
berigtjuns,1.0
berlicum,1.0
berlijn,1.0
beroemd,1.0
beroepsonderwijs,1.0
berucht,1.0
beschikken,1.0
beschkbaar,1.0
beschrijving,1.0
besef,1.0
beseft,1.0
besig,1.0
besjan,1.0
beslissingen,1.0
besta,1.0
bestaan,1.0
besteden,1.0
bestellen,1.0
bestemd,1.0
besterapper,1.0
bestwel,1.0
besuug,1.0
betalen,1.0
betekend,1.0
beters,1.0
betreft,1.0
betrokken,1.0
betrokkenheid,1.0
betºl,1.0
beurs,1.0
beursplein,1.0
beurstijd,1.0
beurt,1.0
bevalt,1.0
bevestigd,1.0
bevolking,1.0
bevriend,1.0
bewaking,1.0
bewegen,1.0
beweren,1.0
bewonderen,1.0
bewoner,1.0
beyonce,1.0
bezet,1.0
bezielt,1.0
bezocht,1.0
bezoeker,1.0
bezuiniging,1.0
beëindigen,1.0
bff,1.0
bi,1.0
biatch,1.0
bib,1.0
bibao,1.0
bibliotheekwet,1.0
bidden,1.0
biddend,1.0
bierviltje,1.0
biggtime,1.0
biij,1.0
bijenkorf,1.0
bijgepraat,1.0
bijkomen,1.0
bijles,1.0
bijschrijvingen,1.0
bijv,1.0
bijvoorbeeld,1.0
bijwaard,1.0
bijzonder,1.0
bikini,1.0
bille,1.0
binne,1.0
binnengevall,1.0
binnenkant,1.0
bio,1.0
birdies,1.0
birinin,1.0
bit,1.0
bitchberryx,1.0
bitchboys,1.0
bitchessss,1.0
bitchnigger,1.0
bitje,1.0
bivakpipoos,1.0
bjorn,1.0
black,1.0
bladmuziek,1.0
blaft,1.0
blakarowsu,1.0
bledder,1.0
blije,1.0
blijjj,1.0
blijvend,1.0
blijvenn,1.0
blikje,1.0
blikken,1.0
bloasmuziek,1.0
block,1.0
bloedheet,1.0
bloedplasma,1.0
bloeie,1.0
bloggen,1.0
blokende,1.0
blokjes,1.0
blokt,1.0
bloodclad,1.0
blowen,1.0
bly,1.0
blz,1.0
blöd,1.0
bmw,1.0
bna,1.0
boaz,1.0
bobbie,1.0
bochten,1.0
bod,1.0
boefjes,1.0
boekfragment,1.0
boekje,1.0
boekjes,1.0
boekt,1.0
boemjah,1.0
boer,1.0
boerichter,1.0
boetes,1.0
boh,1.0
bohh,1.0
bohong,1.0
bojan,1.0
bokito,1.0
bolivia,1.0
bombarderen,1.0
bommen,1.0
bonaire,1.0
boned,1.0
bonnen,1.0
bontkragen,1.0
bonzqild,1.0
boombox,1.0
bootjesvolk,1.0
booty,1.0
bord,1.0
borgharen,1.0
boring,1.0
born,1.0
borussia,1.0
bossen,1.0
bot,1.0
bottom,1.0
bouwman,1.0
bovenaan,1.0
bovenburen,1.0
boyfriend,1.0
boyfriendzoned,1.0
boysengirls,1.0
boyss,1.0
boyz,1.0
brak,1.0
bram,1.0
brampeters,1.0
brand,1.0
branden,1.0
brandstof,1.0
brandweerwagens,1.0
brave,1.0
braviours,1.0
brazilië,1.0
breaking,1.0
brede,1.0
breder,1.0
bredero,1.0
breed,1.0
breekt,1.0
breezer,1.0
breinkraker,1.0
briefje,1.0
brieven,1.0
brilletje,1.0
brings,1.0
britse,1.0
britt,1.0
broederliefde,1.0
broederschap,1.0
broken,1.0
brom,1.0
bromfietspad,1.0
brommer,1.0
broncos,1.0
bronnen,1.0
broo,1.0
broodjes,1.0
brook,1.0
brothas,1.0
brownies,1.0
brrrr,1.0
brug,1.0
brugklas,1.0
bruin,1.0
brussel,1.0
btn,1.0
budget,1.0
bugarrrrriii,1.0
bui,1.0
buik,1.0
buikpijntjesss,1.0
buiseniss,1.0
buitelander,1.0
buitenboys,1.0
buitengesloten,1.0
buitenland,1.0
buitenlander,1.0
buituhh,1.0
bukan,1.0
bulgaren,1.0
bulgarije,1.0
bull,1.0
bumawi,1.0
bundels,1.0
buren,1.0
burger,1.0
burgeroorlog,1.0
burns,1.0
busra,1.0
bussen,1.0
bussie,1.0
bussloo,1.0
but,1.0
butty,1.0
buurjongen,1.0
buzu,1.0
bv,1.0
bydopedemand,1.0
bzv,1.0
cabo,1.0
cacing,1.0
cadeau,1.0
cake,1.0
calderic,1.0
callflex,1.0
calvin,1.0
cambuur,1.0
camera,1.0
cameraman,1.0
camilo,1.0
camminghaburen,1.0
can,1.0
canailles,1.0
canal,1.0
cancer,1.0
cantsleep,1.0
cao,1.0
caoonderhandelingen,1.0
capture,1.0
carnaval,1.0
carol,1.0
cartridges,1.0
cas,1.0
casaluna,1.0
cash,1.0
cassettebandjes,1.0
cava,1.0
cbr,1.0
cbs,1.0
cd,1.0
